T2_max,T2_WRF_max,T2_min,T2_WRF_min,P_WRF_max,P_WRF_min,U10_WRF_max,U10_WRF_min,V10_WRF_max,V10_WRF_min
15.08,14.000671,6.38,5.4181824,1015.3487,1010.5997,3.2329943,-0.029066414,-10.477812,-1.2129561
12.97,12.692413,8.79,8.367767,1014.35596,1011.38354,7.5962987,0.11038517,-9.416442,-0.5590151
12.36,10.945496,8.29,7.697052,1019.5365,1014.87524,7.388585,3.2485855,-7.6592326,-2.068228
11.13,11.13678,8.69,8.590912,1018.5937,1008.2419,7.9856076,2.5923855,-12.962654,-0.16182792
11.9,10.590729,8.72,7.3239746,1009.06305,1006.0682,11.690786,5.1240897,-9.631662,-0.67654556
11.52,10.555054,8,7.1889343,1027.2241,1006.56665,9.790179,1.7683623,7.623198,0.01955275
12.61,11.7144165,4.74,3.9959106,1028.0288,1025.137,3.867351,0.43954286,6.1852903,0.028885303
13.09,13.604919,8.62,4.630371,1025.4216,1020.9457,3.3366828,-0.36518234,5.628885,0.017380835
13.45,15.4729,6.59,5.4014893,1021.10486,1015.90894,2.3097944,0.17107968,4.684496,1.2886399
12.17,13.389618,7.9,6.0165405,1016.93616,1015.6358,2.7076242,-0.15599816,2.5096462,0.23822089
12.03,12.687012,9.78,6.866913,1018.3551,1015.23975,3.713496,0.23660652,1.7015563,-0.041746464
14.24,14.792938,7.52,6.2705994,1017.14624,1010.7698,6.571406,0.09558062,-7.9462333,0.015570229
12.94,12.138672,10.64,9.522797,1014.15814,1008.22876,8.4017725,0.32133612,-11.933777,-4.881518
12.41,11.822571,9.56,9.609924,1023.0831,1014.5199,10.277003,2.6390443,-6.546496,0.37629142
12.85,12.237854,9.26,4.7085266,1023.3175,1021.616,3.8904176,-0.031635612,5.937882,0.6564458
13.31,13.040222,5.9,5.984497,1022.6429,1021.37,3.5284476,-0.05289785,5.106969,-0.19573323
13.21,14.061859,8.12,5.9138794,1022.3145,1020.927,3.8719335,0.18823984,5.8712745,0.41159347
12.56,13.931915,10.2,8.852936,1023.2841,1021.69507,3.843767,0.34503627,4.8748436,-0.06500448
13.52,14.685425,10.2,7.577301,1022.49756,1016.6272,3.0399013,0.1004518,5.099024,0.1716701
13.69,14.100586,10.22,9.900421,1016.7961,1014.66156,3.7069368,-0.030618802,-2.308706,0.11764503
13.88,13.272888,10.64,9.495178,1017.4021,1015.97076,4.550905,0.35953858,-5.0909233,0.052673854
14.46,13.187836,10.15,8.489655,1015.9408,1011.50275,6.80356,0.5991516,-8.483902,0.32396963
12.77,11.890411,9.68,9.478302,1021.9907,1015.58813,7.4510355,2.2401125,3.5619032,-0.34571657
13.23,12.303101,6.05,5.253998,1022.9807,1021.8844,4.2238097,-0.41724724,2.3026998,-0.16260727
14.6,13.176331,10.54,8.484009,1023.152,1021.83765,4.4479904,0.358211,6.09862,-0.24850544
14.03,13.920837,10.49,9.2560425,1022.62244,1018.1384,3.5096989,-0.036768883,5.6980515,0.18648696
14.22,14.001831,8.19,8.201202,1018.33234,1015.7569,3.1770847,-0.044451434,2.1537592,0.019859817
13.5,15.436554,8.67,9.089203,1015.6177,1012.6721,3.0151782,-0.021475129,2.0974731,0.14609757
16.2,15.333252,11.32,10.796967,1014.3,1012.63654,5.047782,-0.40162814,-8.704857,0.28984967
13.81,14.0914,10.44,11.341248,1013.2992,1011.29626,7.1813464,0.86596453,-10.684792,-2.968543
14.77,13.432343,8.22,7.5979004,1014.09607,1011.78925,6.1242285,0.44356072,-8.708371,-2.4315436
14.24,13.972137,12.12,9.6502075,1013.05444,1008.6804,8.490997,1.2302026,-11.554729,-2.8379014
13.47,13.389435,9.16,10.086487,1014.4835,1013.04095,8.1897745,1.6025792,-7.735314,-1.8491452
12.73,11.800659,10.17,8.856018,1020.2418,1008.62616,10.624599,2.5697546,-11.302454,-0.3208786
14.07,12.888336,8.05,8.405792,1021.5234,1012.7452,6.413693,1.6227223,-10.417625,-0.02363776
12.87,12.200348,11.08,10.798462,1012.7598,1008.3882,6.9938545,3.617296,-9.2071295,-6.3258615
12.49,12.010712,9.09,9.336884,1020.3592,1009.8005,6.525629,-0.05193724,3.2292876,0.115977995
12.9,12.078522,9.56,5.9820557,1026.8969,1020.84406,6.415563,0.5870859,2.9695601,0.7399022
12.92,12.180359,9.14,5.822357,1026.631,1019.1878,3.920699,-0.103920326,-2.1362176,-0.07273333
12.27,12.068909,9.63,7.4177856,1019.0263,1014.9589,8.310144,0.01838996,-5.9242516,0.21003911
12.75,11.393677,8.39,5.8767395,1021.8477,1016.34406,4.6106753,-0.17693275,2.5382938,0.007462188
13.38,12.039734,7.67,6.353668,1025.0142,1021.16815,4.4248962,0.4817826,6.084879,-0.10794139
13.81,14.038513,6.28,5.3962708,1025.3334,1021.8415,3.964163,-0.23265938,7.41026,0.08573412
14.12,14.595184,7.82,5.6756897,1022.12604,1018.6422,2.9995067,0.041433558,4.511182,-0.11112373
12.8,14.324127,10.47,9.575989,1018.51984,1012.69147,2.9730432,0.05664799,3.5862741,0.17032517
15.65,14.946014,10.66,9.46991,1012.64984,1009.289,6.4114227,-0.10181697,-7.751325,-0.22588995
15.1,14.127502,11.86,11.887268,1020.62854,1009.1072,7.1954823,2.0855646,-11.538921,-2.54551
14.82,14.809113,9.83,9.003876,1020.97125,1015.728,4.537267,0.124287546,-4.9172406,-1.8955618
14.53,14.2438965,11.22,10.300293,1015.3466,1007.55493,10.711181,-0.43943107,-7.6438546,-0.20768075
12.87,12.657013,11.03,10.592773,1011.1241,1007.01984,8.942089,6.225211,-9.517076,-0.20138371
12.99,12.706085,9.9,9.42865,1016.5432,1008.1228,7.53739,1.716795,3.6776416,0.15346701
13.33,13.193909,10.52,8.277222,1020.52673,1013.9406,8.319813,2.0993543,-10.328453,-0.1881332
12.75,12.61496,11.1,10.198517,1017.82275,1008.2445,13.625074,3.8850725,-11.609866,0.007544728
13.11,11.962311,8.47,6.953644,1021.7675,1018.3949,3.8063993,0.7023603,3.8781254,-0.18677562
13.35,12.656433,8.47,6.068054,1021.34186,1018.9891,3.2883713,-0.4200802,2.8140068,0.03586968
14.15,14.072815,8.17,7.0355835,1019.4856,1016.6293,3.729026,-0.0740681,4.6941442,0.13600369
14.34,12.2743225,9.21,8.240448,1017.1729,1014.9975,6.7625856,-0.053100187,4.0532813,-0.09545693
14,12.985107,10.25,9.775238,1018.9558,1014.64624,4.142221,1.3161359,5.1803985,0.25430304
14.74,13.779114,10.71,7.7928467,1020.1768,1017.962,4.306594,-0.051809095,2.364633,-0.049566224
15.51,14.595001,9.9,7.8968506,1020.24084,1018.45337,3.7351713,0.26243523,-2.3652549,-0.010745623
16.25,15.149017,11.81,8.520813,1018.4719,1016.03925,7.3702497,0.066676855,-6.311947,-0.5309621
16.99,15.760834,13.04,10.684906,1017.21545,1012.464,6.3122654,0.041119985,-9.289315,-2.8725762
15.03,14.146545,12.03,12.976929,1015.2866,1011.11755,5.8568516,0.23677766,-9.180498,0.05664505
16.22,17.441223,13.38,12.755737,1015.5771,1014.0614,3.9907002,-0.43348968,-8.009558,-0.9662139
17.44,18.062347,14.55,14.425415,1015.1462,1014.09485,5.803922,1.0734595,-6.007848,-1.6990073
18.98,17.47052,13.71,13.160278,1014.0115,1012.10443,5.930996,-0.16516559,-5.043754,0.040506948
19.6,19.365509,14.03,13.174194,1014.10974,1012.07416,3.6486008,0.10170449,-8.770563,-1.3349082
17.46,15.884277,12.44,11.188782,1017.1163,1008.31915,7.148611,0.01868031,-8.427617,-1.2475768
14.43,13.618408,11.2,9.973053,1020.8265,1017.9214,7.0643735,3.4855866,5.73431,-0.041246545
16.39,14.941986,13.09,11.15329,1020.7715,1017.242,5.024519,1.2539513,-3.9356143,0.0397688
16.68,15.0112915,9.09,7.4956665,1018.9602,1016.8917,4.2831445,-0.41231412,2.3489473,0.17896447
18.39,17.15332,9.53,9.368713,1019.22015,1015.41034,4.1908674,-0.76398027,-3.908194,-1.0355856
15.82,14.713226,10.66,9.134399,1022.40643,1015.77576,4.2608395,-0.35743096,5.812457,-0.007848752
15.39,14.407227,9.66,7.9431458,1023.2498,1021.407,5.3757544,0.6412225,9.19266,0.69110423
14.94,14.910797,9.11,6.893982,1021.86694,1019.3911,4.621274,-0.014101014,7.147165,0.32115403
17.87,17.557037,9.76,8.889709,1019.85803,1015.04333,6.391391,0.09217852,-7.5457664,-0.1683685
15.29,14.340851,8.77,7.8331604,1021.75525,1015.4252,6.4584064,0.26476526,6.0024767,-0.46187204
15.2,13.936951,10.54,7.0781555,1021.878,1015.3885,4.0550404,-0.29611745,-3.52395,-0.14375687
14.82,14.980011,10.91,10.088562,1015.1371,1003.29224,12.22664,-0.0912066,-12.294758,-3.1243064
13.28,13.047119,9.71,9.358002,1009.0111,1002.2748,12.686054,4.2341022,-7.203866,0.4019653
14.07,12.971802,7.07,8.421234,1022.9344,1008.79596,7.8685474,1.699605,4.616797,0.019029576
14.62,13.328644,7.82,8.483002,1023.13947,1020.74243,5.339825,-0.26718616,4.2272754,-0.052985583
15.13,14.308624,7.17,6.95459,1020.90533,1017.4347,3.7376916,-0.2098569,4.339051,-0.05678163
14.86,16.404083,9.48,7.609009,1017.4794,1011.90424,5.5479884,-0.007844072,-5.2493215,-0.4127939
15.46,14.586517,10.98,11.451538,1016.98865,1008.6119,7.8001895,-0.11852549,-8.731279,0.236516
16.44,15.363434,12.56,8.999603,1021.3948,1017.0876,3.5705323,-0.22483854,-2.3334103,-0.15182602
16.34,15.299316,12.97,10.4198,1021.67584,1019.26544,4.1942596,-0.05792097,2.4751022,0.16205132
18.01,17.165375,13.16,11.164154,1019.4934,1016.9405,2.7892194,-0.1591932,-3.997191,0.1852623
18.3,17.413513,14.41,12.490784,1017.8184,1015.7611,3.7357457,-0.0535993,-2.768689,-0.04634689
20.01,18.152313,13.69,12.628418,1018.0082,1015.6153,2.7655265,0.020662608,2.6860602,-0.11735248
19.08,18.242798,15.13,13.39566,1016.42773,1015.2706,3.7526171,-0.011762489,-2.6657515,-0.031012451
20.56,19.304749,15.65,13.224304,1016.14484,1013.83453,5.8122764,0.059487753,-6.310567,0.070812866
18.41,17.084839,12.75,12.278778,1017.64526,1013.9389,4.093453,0.06315398,6.8993707,0.017857583
16.63,14.65918,8.77,7.408661,1017.3513,1014.15216,3.9433842,0.42739698,-3.6464677,-0.06229647
15.87,14.932617,12.82,10.943329,1015.285,1011.43475,9.266093,-0.4431392,-5.6711793,0.68918437
15.37,14.468323,10.83,9.753815,1016.74414,1014.6986,6.8035707,1.5695813,-2.3839037,0.025120845
15.96,15.269867,11.9,11.647919,1016.6521,1012.0405,9.656721,0.49112108,-4.077287,0.120863885
16.65,14.689575,11.3,10.144592,1013.5324,1008.7137,3.7172954,-0.019395692,-3.1891522,-0.0148274815
15.7,15.06366,8.99,8.408691,1011.8909,1007.37244,4.713529,0.027383398,7.2978644,-0.005739421
15.25,15.209503,7.92,7.659088,1016.2718,1010.80835,3.6156652,0.112996735,5.0124307,-0.012129556
16.77,16.200043,9.36,8.494659,1017.08234,1015.78674,3.2382498,-0.3565214,6.0980983,-0.22111881
14.82,16.154175,12.07,9.936768,1018.13446,1016.35834,4.7600813,0.13904253,7.8694043,-0.2506521
15.27,16.313599,11.03,9.979858,1019.9436,1018.00104,3.8329384,-0.088270426,5.901487,-0.11594324
16.34,17.649689,11.88,11.256653,1019.93494,1018.03815,2.419222,0.02706702,3.824691,0.139212
18.39,19.756744,11.66,11.848206,1019.61346,1015.83624,1.748835,0.005389772,4.891004,0.764133
17.53,20.115662,11.37,12.451111,1015.86774,1013.4665,-4.161121,-0.045581378,6.053554,1.0943897
17.01,17.722626,10.54,10.385895,1014.71606,1013.0941,3.4131196,0.09210246,6.121939,0.10351303
20.86,25.043457,9.71,9.39743,1014.2594,1012.2886,-4.5248146,0.051890276,2.7197835,0.12635057
17.53,20.443634,11.69,12.597809,1015.99243,1011.9105,-3.3531032,-0.17978723,-2.35302,-0.17441517
20.84,19.606476,11.2,9.77121,1016.54193,1014.7629,2.143535,-0.09186812,3.618366,0.5160189
17.77,20.363556,12.53,11.942413,1014.7919,1008.5385,2.911796,-0.060441513,3.701088,0.049112666
15.82,15.702179,13.69,13.069763,1017.3015,1008.7429,4.1034822,0.080840416,6.6885676,-0.6465029
16.34,15.653198,8.77,8.641632,1017.702,1015.37616,3.9743826,-0.20055756,5.859888,-0.11101493
16.92,15.314453,9.53,8.128876,1016.0547,1014.77423,2.9087744,0.16292046,3.2301085,0.14657669
15.2,14.848694,11.3,9.197388,1018.6897,1015.0993,-2.927042,-0.027156778,7.1244664,1.0113723
15.15,15.373322,7.87,7.4071045,1019.0544,1016.2372,3.6524692,0.10803987,4.909264,0.0033773049
15.68,14.819611,10.76,8.2291565,1016.3834,1015.27625,3.4544957,-0.3655923,-4.0232553,-0.03912453
17.27,16.612854,12.24,10.111786,1015.97565,1010.8195,4.1771655,0.078810245,-11.725663,-2.794998
16.06,14.694519,11.93,11.151123,1019.94916,1005.3551,6.8046737,1.3875743,-13.521866,1.6524444
14.41,13.42984,8.32,7.754486,1024.64,1020.66876,3.897863,-0.66733325,6.4492626,-0.0594461
16.42,13.974121,8.12,7.660858,1024.1176,1018.3643,3.3049257,-0.42181578,-3.8550377,0.02089931
14.46,14.049713,12.1,9.525177,1017.8631,1012.1145,6.639827,-0.24533938,-8.456317,-0.13675423
14.41,13.892944,9.68,7.7846375,1023.79663,1015.50867,4.0507565,-0.00012318094,4.9162536,-0.06535813
15.89,15.400482,10.83,8.547821,1024.139,1020.64557,-2.4622483,0.70868874,4.896984,-0.06340493
16.27,15.5625305,11.2,10.884857,1020.7275,1016.69745,3.4745455,0.026346842,6.1974497,0.6383989
15.49,15.532257,10.17,9.824799,1016.663,1011.9913,2.5718305,-0.05865417,3.2762272,-0.017388003
15.29,13.99881,12.44,11.1683655,1015.87537,1011.26666,3.0597558,0.24778916,3.5249531,-0.07794158
16.03,15.331879,11.64,9.573975,1016.5927,1015.5564,2.5346558,-0.2878083,2.9536002,0.044450685
