Index,T2,Time,T2_WRF,P_WRF,U10_WRF,V10_WRF
64,7.92,2020-09-03 16:00:00,8.073334,1015.3541,7.7175317,-3.0310962
65,8.89,2020-09-03 17:00:00,8.502594,1015.34033,7.559432,1.7547852
66,10.05,2020-09-03 18:00:00,8.697601,1015.3512,10.059053,3.9138045
67,10.1,2020-09-03 19:00:00,9.220978,1015.5918,7.7473173,-0.5210437
68,9.76,2020-09-03 20:00:00,8.53714,1015.6273,8.554241,-1.4168475
69,9.8,2020-09-03 21:00:00,8.189026,1015.7898,8.322162,-0.26240402
70,7.42,2020-09-03 22:00:00,7.488312,1016.0876,6.5417137,-1.1268157
71,9.26,2020-09-03 23:00:00,7.983032,1016.5265,5.7147026,-0.72089875
72,9.31,2020-09-04 00:00:00,7.8540344,1017.0469,5.844034,0.10530594
73,7.95,2020-09-04 01:00:00,7.473572,1017.5083,4.6832256,-0.9494488
74,8.89,2020-09-04 02:00:00,7.6137085,1017.88007,3.816674,-1.1899968
75,8.79,2020-09-04 03:00:00,7.6667786,1017.7569,3.9005628,-1.8905561
76,8.54,2020-09-04 04:00:00,7.6725464,1017.7365,3.96886,-2.1560893
77,8.72,2020-09-04 05:00:00,7.3964233,1017.6439,3.548175,-0.6880225
78,7.32,2020-09-04 06:00:00,7.208008,1017.7709,2.1651618,-1.4566375
79,6.2,2020-09-04 07:00:00,6.6180725,1017704,-0.7186032,-2.1536622
80,5.57,2020-09-04 08:00:00,5.7724304,1017.41736,-0.86627614,-2.6543155
81,5.51,2020-09-04 09:00:00,5.6746216,1017.1199,-1.0087783,-2.7665226
82,5.59,2020-09-04 10:00:00,5.603668,1017.0053,-1.1996703,-2.9030166
83,5.21,2020-09-04 11:00:00,5.480957,1017.00336,-1.6251565,-2.7149003
84,5.54,2020-09-04 12:00:00,5.486847,1017.0257,-2.1962118,-2.2390583
85,7.39,2020-09-04 13:00:00,6.913849,1017.11224,-2.388624,-1.0893294
86,8.52,2020-09-04 14:00:00,7.6476135,1016.9305,-1.2471586,0.5228392
87,9.76,2020-09-04 15:00:00,9.303375,1016408,1.0706486,1.2073294
88,11.98,2020-09-04 16:00:00,9.302063,1015.87604,0.3451612,1.5627347
89,10.2,2020-09-04 17:00:00,9.049622,1015.6194,2.6975398,1.1564994
90,11.44,2020-09-04 18:00:00,9.014435,1015.4713,1.7430748,0.4118021
91,11.39,2020-09-04 19:00:00,9.301117,1015.4539,1.1171037,1.1656921
92,10.66,2020-09-04 20:00:00,9.890289,1015.2939,1.1180856,1.6411074
93,10.37,2020-09-04 21:00:00,10.20752,1014.9221,-3.0622919,1.4339817
94,9.68,2020-09-04 22:00:00,8.875397,1014.7464,-2.3435633,1.484713
95,8.54,2020-09-04 23:00:00,7.644348,1014.7551,-2.552264,1.1558988
96,6.38,2020-09-05 00:00:00,7.0572205,1014.9177,-3.026744,1.651434
97,5.44,2020-09-05 01:00:00,4.3994446,1015532,-2.9226353,-0.9193768
