Time,T2,T2_WRF,PP,PP_WRF,P_WRF,U10_WRF,V10_WRF
2018-08-03 09:00:00,7.77,6.4530334,0,1.6395111,1007.776,3.5078843,-2.8916457
2018-08-03 10:00:00,8.05,7.3083496,0,0.33602905,1008.1948,5.2128963,-2.8944998
2018-08-03 11:00:00,7.67,7.255554,0,0.95544434,1008.5799,4.825568,-2.5581198
2018-08-03 12:00:00,7.32,6.7547913,0,0.17658997,1009.14844,3.9955935,-2.6057456
2018-08-03 13:00:00,7.49,6.928467,0,0.13057709,1009.55896,3.6607003,-2.819826
2018-08-03 14:00:00,7.09,6.9820557,0.2,0.17207336,1009.6715,4.050611,-3.216829
2018-08-03 15:00:00,7.37,8.329926,0.2,0.10977936,1010.512,5.271456,-3.4137456
2018-08-03 16:00:00,9.46,8.84433,0,0.07195282,1011.1717,6.275347,-5.114263
2018-08-03 17:00:00,10.12,9.555359,0,0.007972717,1011.41907,5.055378,-5.083941
2018-08-03 18:00:00,9.9,8.555847,0,0.16805267,1011.798,3.9479334,-4.2839656
2018-08-03 19:00:00,8.44,9.110107,0.2,0.021873474,1011.29706,4.289043,-5.1314845
2018-08-03 20:00:00,8.67,8.800507,0,0.062438965,1010.7001,4.4347997,-5.8716235
2018-08-03 21:00:00,8.44,8.567841,0.6,0.32082367,1010.4704,4.1411967,-6.4689736
2018-08-03 22:00:00,8.72,8.654236,0.2,1.143364,1010.2843,4.4224696,-7.665753
2018-08-03 23:00:00,8.72,8.716766,0.2,1.496048,1010.02625,4.7792125,-8.494951
2018-08-04 00:00:00,8.39,8.725464,1,1.4806137,1009.83057,4.908183,-9.526024
2018-08-04 01:00:00,8.34,8.799011,0.4,1.3008499,1008.5846,4.0180244,-10.339821
2018-08-04 02:00:00,8.47,8.858337,0.6,1.7552872,1006.92737,4.142122,-11.209576
2018-08-04 03:00:00,8.52,9.067474,0.8,2.0892563,1005.73486,4.2337265,-11.461293
2018-08-04 04:00:00,8.84,9.259766,1.6,2.832489,1005.34875,4.5216675,-12.457625
2018-08-04 05:00:00,9.14,9.349304,0,3.432541,1004.5144,5.086788,-11.75507
2018-08-04 06:00:00,9.26,9.588501,1.8,2.877182,1004.1677,6.714944,-11.640233
2018-08-04 07:00:00,9.58,9.820984,1,1.5189514,1004.1182,8.006213,-10.331285
2018-08-04 08:00:00,9.85,9.950623,0.4,0.71029663,1004.094,7.549673,-9.145047
2018-08-04 09:00:00,10.08,9.977203,1.8,0.6225128,1004.2107,6.9581904,-8.005103
2018-08-04 10:00:00,10.34,9.889526,0.6,0.57377625,1004.0457,6.262579,-7.0109262
2018-08-04 11:00:00,10.52,9.924103,0,0.42370605,1003.81195,6.634203,-5.7378526
2018-08-04 12:00:00,10.47,9.953033,0.199999999999999,0.22175598,1003.6259,6.470564,-5.1217146
2018-08-04 13:00:00,10.47,9.957977,0,0.10206604,1003.4363,6.13992,-4.8382754
2018-08-04 14:00:00,10.59,9.923676,0,0.11791992,1003.26917,5.7304187,-4.266965
2018-08-04 15:00:00,10.66,10.031342,0,0.16970825,1003.248,5.8366113,-4.0487776
2018-08-04 16:00:00,10.81,10.117157,0.199999999999999,0.15641785,1003.233,5.8013296,-4.1674943
2018-08-04 17:00:00,10.66,10.151306,0,0.0662384,1003.4712,4.583567,-3.9928293
2018-08-04 18:00:00,10.71,10.07016,0,0.0637207,1003.8209,3.6985538,-4.257136
2018-08-04 19:00:00,10.42,9.963104,0,0.0710907,1003.80884,4.017404,-4.3074017
2018-08-04 20:00:00,10.74,9.789917,0,0.013000488,1003.75037,3.8609989,-4.172748
2018-08-04 21:00:00,10.22,9.734283,0,0.03578186,1003.43713,3.5494401,-4.356972
2018-08-04 22:00:00,10.15,9.713318,0.199999999999999,0.0038604736,1003.21906,4.1280823,-4.6777534
2018-08-04 23:00:00,10.17,9.678558,0.199999999999999,0.020111084,1002.9389,3.9709804,-4.644888
2018-08-05 00:00:00,10.27,9.612396,0,0.13798523,1002.8312,3.804412,-4.1616907
2018-08-05 01:00:00,10.3,9.45755,0,0.22589111,1001.9967,2.7779212,-3.1774824
