Time,T2,T2_WRF,PP_WRF,P_WRF,U10_WRF,V10_WRF
2018-08-03 12:00:00,6.862,7.4215393,0.011238098,1014.3975,2.0268538,-5.8228974
2018-08-03 13:00:00,7.67,7.734009,0.15969086,1014.9278,2.2243288,-5.3740544
2018-08-03 14:00:00,8.29,8.35614,0.049995422,1015.43823,4.048567,-5.666283
2018-08-03 15:00:00,8.682,9.397522,9.918213e-05,1015.7072,3.9421794,-6.469927
2018-08-03 16:00:00,8.819,9.7361145,0,1016.40125,3.1289098,-6.8970923
2018-08-03 17:00:00,9.7,9.938232,0.0018920898,1016.77673,3.2324276,-6.4751434
2018-08-03 18:00:00,9.598,10.064514,0.059654236,1017.1893,3.8766897,-6.5928493
2018-08-03 19:00:00,10.485,9.7751465,0.12597656,1016.9183,4.1355004,-5.323157
2018-08-03 20:00:00,9.609,9.637909,0.27692413,1016.50977,5.0421257,-5.460609
2018-08-03 21:00:00,9.695,9.441864,0.20813751,1016.5404,5.0123563,-5.9217043
2018-08-03 22:00:00,9.086,9.398163,0.15061188,1016.7532,4.10193,-7.0198827
2018-08-03 23:00:00,9.211,9.513214,0.20187378,1016.68463,3.3389108,-9.559605
2018-08-04 00:00:00,8.682,9.510864,0.34481812,1016.81366,2.5995567,-9.949518
2018-08-04 01:00:00,8.899,9.524811,0.070884705,1015.521,1.5608863,-10.933791
2018-08-04 02:00:00,8.586,9.447632,0.06416321,1014.5421,0.9049304,-12.170199
2018-08-04 03:00:00,8.671,9.368256,0.25318146,1013.82697,0.95982593,-12.810513
2018-08-04 04:00:00,8.671,9.308411,0.66108704,1013.83093,1.5300679,-13.222251
2018-08-04 05:00:00,8.58,9.357727,1.0696716,1012.99524,0.7368173,-13.007796
2018-08-04 06:00:00,8.654,9.572296,0.7773361,1012.66797,1.1583179,-13.788405
2018-08-04 07:00:00,8.648,9.534851,0.71442413,1011.9782,1.3648388,-14.643864
2018-08-04 08:00:00,8.808,9.627686,0.3842697,1011.50104,1.5727834,-14.418551
2018-08-04 09:00:00,8.967,9.783478,0.27705383,1011.2914,1.8652301,-13.690715
2018-08-04 10:00:00,8.955,9.859039,0.14324951,1010.94006,2.2120068,-13.111166
2018-08-04 11:00:00,8.995,9.94455,0.18916321,1010.5836,2.1947372,-12.644761
2018-08-04 12:00:00,8.984,9.9436035,0.31487274,1010.0731,2.005251,-12.123794
2018-08-04 13:00:00,9.069,9.876678,0.29766083,1009.848,1.3653991,-11.560907
2018-08-04 14:00:00,9.2,9.855408,0.23020935,1009.6733,1.087273,-11.461917
2018-08-04 15:00:00,9.382,9.854004,0.2348175,1009.5683,0.85286105,-11.313036
2018-08-04 16:00:00,9.604,9.98056,0.15159607,1009.5783,0.9959265,-10.942707
2018-08-04 17:00:00,9.467,10.174622,0.24023438,1009.4635,1.5223092,-10.09989
2018-08-04 18:00:00,9.78,10.348267,0.13672638,1009.43506,0.20694354,-8.91764
2018-08-04 19:00:00,10.002,10.279541,0.2977829,1009.24963,-0.6597354,-8.161801
2018-08-04 20:00:00,9.991,10.137024,0.12791443,1009.0759,-0.95813626,-7.98794
2018-08-04 21:00:00,9.985,10.059418,0.48870087,1008.54803,-0.8395401,-8.1239805
2018-08-04 22:00:00,9.985,10.027557,0.53665924,1008.05334,-0.19271922,-8.674954
2018-08-04 23:00:00,10.076,9.99707,0.4869156,1007.59033,-0.0829585,-8.915799
2018-08-05 00:00:00,10.076,10.028595,1.3018494,1007.2321,-0.113494515,-8.228332
2018-08-05 01:00:00,10.07,10.116516,2.0926056,1007.1474,-0.8285356,-6.760878
2018-08-05 02:00:00,10.082,10.097473,2.5155487,1006.04614,1.0637236,-7.159209
2018-08-05 03:00:00,9.678,10.017944,3.8252335,1006.82336,1.2284563,-6.0621943
2018-08-05 04:00:00,9.473,10.125183,2.8381348,1006.033,1.501303,-4.6251154
2018-08-05 05:00:00,9.695,9.92276,0.6601944,1006.6644,0.37378976,-3.6300983
2018-08-05 06:00:00,10.013,9.296112,0.44458008,1006.7159,0.76252013,-2.0434513
2018-08-05 07:00:00,9.604,9.519104,0.43769073,1007.3016,1.2734877,-0.57219285
2018-08-05 08:00:00,8.614,9.095947,0.217659,1007.76874,3.0701928,-3.942614
2018-08-05 09:00:00,8.586,9.048828,0.11627197,1008.4158,2.1695397,-5.1465244
