Time,T2,T2_WRF,P_WRF,U10_WRF,V10_WRF
2018-08-03 20:00:00,8.67,4.4347997,-5.8716235,322.9365,7.3582206
2018-08-03 21:00:00,8.44,4.1411967,-6.4689736,327.37415,7.6809587
2018-08-03 22:00:00,8.72,4.4224696,-7.665753,330.01883,8.849972
2018-08-03 23:00:00,8.72,4.7792125,-8.494951,330.63812,9.747055
2018-08-04 00:00:00,8.39,4.908183,-9.526024,332.7407,10.716127
2018-08-04 01:00:00,8.34,4.0180244,-10.339821,338.76404,11.09308
2018-08-04 02:00:00,8.47,4.142122,-11.209576,339.7199,11.950388
2018-08-04 03:00:00,8.52,4.2337265,-11.461293,339.7261,12.218252
2018-08-04 04:00:00,8.84,4.5216675,-12.457625,340.05093,13.252846
2018-08-04 05:00:00,9.14,5.086788,-11.75507,336.60034,12.808477
2018-08-04 06:00:00,9.26,6.714944,-11.640233,330.02048,13.4382105
2018-08-04 07:00:00,9.58,8.006213,-10.331285,322.22617,13.070382
2018-08-04 08:00:00,9.85,7.549673,-9.145047,320.45868,11.858729
2018-08-04 09:00:00,10.08,6.9581904,-8.005103,319.0022,10.606511
2018-08-04 10:00:00,10.34,6.262579,-7.0109262,318.22687,9.400691
2018-08-04 11:00:00,10.52,6.634203,-5.7378526,310.85617,8.771294
2018-08-04 12:00:00,10.47,6.470564,-5.1217146,308.36304,8.252282
2018-08-04 13:00:00,10.47,6.13992,-4.8382754,308.23822,7.8171306
2018-08-04 14:00:00,10.59,5.7304187,-4.266965,306.672,7.1445565
2018-08-04 15:00:00,10.66,5.8366113,-4.0487776,304.74854,7.103424
2018-08-04 16:00:00,10.81,5.8013296,-4.1674943,305.69226,7.1430693
2018-08-04 17:00:00,10.66,4.583567,-3.9928293,311.05972,6.0787973
2018-08-04 18:00:00,10.71,3.6985538,-4.257136,319.01624,5.639371
2018-08-04 19:00:00,10.42,4.017404,-4.3074017,316.99512,5.890097
2018-08-04 20:00:00,10.74,3.8609989,-4.172748,317.22223,5.6849923
2018-08-04 21:00:00,10.22,3.5494401,-4.356972,320.83176,5.619763
2018-08-04 22:00:00,10.15,4.1280823,-4.6777534,318.57184,6.2387853
2018-08-04 23:00:00,10.17,3.9709804,-4.644888,319.4724,6.1109467
2018-08-05 00:00:00,10.27,3.804412,-4.1616907,317.568,5.638548
2018-08-05 01:00:00,10.3,2.7779212,-3.1774824,318.83835,4.2205734
2018-08-05 02:00:00,10.17,3.358574,-2.5063598,306.7324,4.190687
2018-08-05 03:00:00,10.44,2.5564268,-2.9001787,318.60474,3.8660514
2018-08-05 04:00:00,10.49,3.4891255,-2.6214075,306.91782,4.3641467
2018-08-05 05:00:00,9.98,3.083473,-2.2446907,306.05368,3.8139799
2018-08-05 06:00:00,10,2.172135,-1.1238765,297.35733,2.4456635
2018-08-05 07:00:00,10.22,1.6701505,-2.1169677,321.72882,2.696471
2018-08-05 08:00:00,10.05,1.2859414,-2.3068454,330.8627,2.6410568
2018-08-05 09:00:00,9.83,2.8577883,-3.5191627,320.92114,4.533372
2018-08-05 10:00:00,9.83,3.4409113,-4.192022,320.62003,5.423368
2018-08-05 11:00:00,9.71,3.3348243,-4.451104,323.15897,5.5617785
2018-08-05 12:00:00,9.53,2.8561609,-4.2222495,325.92343,5.097553
2018-08-05 13:00:00,9.36,2.5169613,-3.9585323,327.5505,4.6909566
2018-08-05 14:00:00,9.61,2.919498,-3.6564074,321.39398,4.6789727
2018-08-05 15:00:00,9.76,3.1310298,-3.078374,314.51416,4.390869
2018-08-05 16:00:00,10.1,2.9674556,-3.2615461,317.7031,4.409476
2018-08-05 17:00:00,10.52,3.819513,-3.3647985,311.37842,5.0902405
2018-08-05 18:00:00,10.64,2.820539,-3.400951,320.32977,4.41836
2018-08-05 19:00:00,10.08,2.5621114,-3.7851775,325.9067,4.570775
2018-08-05 20:00:00,9.29,2.551292,-3.7554927,325.80978,4.540134
2018-08-05 21:00:00,8.84,2.1441574,-3.2427735,326.5269,3.8875432
2018-08-05 22:00:00,8.92,2.4109106,-3.060407,321.76987,3.8959699
2018-08-05 23:00:00,9.01,2.0912113,-3.3544743,328.06018,3.9529307
2018-08-06 00:00:00,9.24,1.8037819,-3.3456059,331.6687,3.8008823
2018-08-06 01:00:00,8.99,1.6591763,-3.3120446,333.39133,3.70439
2018-08-06 02:00:00,8.87,1.3186226,-3.311173,338.28586,3.5640752
2018-08-06 03:00:00,8.82,1.9839767,-2.2584646,318.7019,3.0061314
2018-08-06 04:00:00,8.77,0.6985647,-1.636931,336.8895,1.7797573
2018-08-06 05:00:00,8.69,-0.4794096,-2.0174742,13.367195,2.0736527
2018-08-06 06:00:00,8.52,-0.6154828,-2.1007686,16.329514,2.1890745
2018-08-06 07:00:00,8.32,-0.20563667,-1.7567265,6.6764755,1.7687211
2018-08-06 08:00:00,8.12,-0.041112307,-1.1788726,1.9973373,1.1795893
2018-08-06 09:00:00,7.97,-0.52577406,-1.1084822,25.375862,1.2268542
2018-08-06 10:00:00,7.67,-0.14992556,-0.84097165,10.108299,0.85423124
2018-08-06 11:00:00,7.62,0.7056942,-0.12375106,279.9463,0.71646255
2018-08-06 12:00:00,7.37,1.4919372,1.1116785,233.30931,1.8605659
2018-08-06 13:00:00,7.54,1.5222952,2.2368293,214.23761,2.7056954
2018-08-06 14:00:00,8.17,0.5677137,4.2553,187.59915,4.293003
2018-08-06 15:00:00,8.37,0.30672422,5.625482,183.12091,5.6338377
2018-08-06 16:00:00,8.54,0.06778851,6.137655,180.63278,6.138029
2018-08-06 17:00:00,8.42,-0.28391567,5.0134673,176.75877,5.0215
2018-08-06 18:00:00,8.69,0.7460847,3.1013331,193.52655,3.1898134
2018-08-06 19:00:00,9.14,1.1343296,2.1469615,207.84937,2.4281983
2018-08-06 20:00:00,8.92,1.4493388,0.85326904,239.51341,1.6818594
2018-08-06 21:00:00,8.64,2.1929584,-0.14500703,273.7831,2.1977472
2018-08-06 22:00:00,7.82,3.8832567,0.61165875,261.04877,3.9311333
2018-08-06 23:00:00,7.64,4.3666253,1.6988752,248.74103,4.6854663
2018-08-07 00:00:00,7.22,4.0741553,1.8568438,245.49832,4.477344
2018-08-07 01:00:00,6.61,2.9153147,1.7750632,238.6638,3.4131963
2018-08-07 02:00:00,6.69,2.0142498,1.7867498,228.42522,2.6925225
2018-08-07 03:00:00,6.46,1.6450171,1.4898884,227.83293,2.2194254
2018-08-07 04:00:00,6.51,1.5790243,1.2135774,232.4555,1.991504
2018-08-07 05:00:00,6.33,1.2965811,0.38785926,253.34598,1.3533505
2018-08-07 06:00:00,5.59,1.5096127,-0.6486516,293.25226,1.6430701
2018-08-07 07:00:00,5.85,2.859741,-0.7913318,285.46753,2.9672084
2018-08-07 08:00:00,5.69,2.8186746,-0.77781165,285.42682,2.924024
2018-08-07 09:00:00,5.62,1.660672,-1.2814822,307.6561,2.0976245
2018-08-07 10:00:00,4.87,1.7552118,-1.4232967,309.0385,2.2597659
2018-08-07 11:00:00,5.92,1.4025807,-1.6860405,320.24365,2.1931632
2018-08-07 12:00:00,6.46,1.6167412,-1.6446782,315.49078,2.3062563
2018-08-07 13:00:00,7.17,1.4615729,-1.742529,320.01123,2.2743356
2018-08-07 14:00:00,8.57,0.65228623,-1.397133,334.97333,1.5419008
2018-08-07 15:00:00,8,0.44227687,-1.584797,344.40692,1.6453543
2018-08-07 16:00:00,8.97,1.2086776,-2.0153604,329.04752,2.3500168
2018-08-07 17:00:00,8.64,3.116457,-3.1840901,315.61502,4.455416
2018-08-07 18:00:00,9.06,2.6190062,-2.9072325,317.9856,3.912952
2018-08-07 19:00:00,10.54,2.984329,-3.790323,321.7847,4.824186
2018-08-07 20:00:00,10.91,2.0195367,-3.3387728,328.83136,3.9020422
2018-08-07 21:00:00,9.39,1.7817898,-2.8562405,328.04312,3.366435
2018-08-07 22:00:00,8.54,0.66865313,-2.4533548,344.75452,2.5428424
2018-08-07 23:00:00,8.42,0.24245903,-2.3891878,354.20535,2.401459
2018-08-08 00:00:00,8.24,0.6424166,-2.7381957,346.79645,2.812546
2018-08-08 01:00:00,7.62,0.77580553,-3.1166112,346.02167,3.211719
2018-08-08 02:00:00,7.95,0.7190774,-3.3479755,347.87817,3.4243264
