Time,T2,T2_WRF,P_WRF,U10_WRF,V10_WRF
2018-08-04 07:00:00,9.93,4.461471,-15.38327,343.82672,16.01717
2018-08-04 08:00:00,10.22,4.403121,-14.409496,343.00836,15.067218
2018-08-04 09:00:00,10.2,4.4556823,-13.839324,342.15363,14.538913
2018-08-04 10:00:00,10.34,4.3382354,-13.242517,341.86127,13.935012
2018-08-04 11:00:00,10.44,4.4903097,-12.399657,340.09308,13.18766
2018-08-04 12:00:00,10.66,5.087295,-11.469942,336.08115,12.547515
2018-08-04 13:00:00,10.91,5.192736,-10.484962,333.65283,11.700383
2018-08-04 14:00:00,11.03,5.449419,-9.330863,329.71417,10.805608
2018-08-04 15:00:00,11.2,5.8530154,-8.854088,326.5332,10.613796
2018-08-04 16:00:00,11.27,5.7591257,-8.647283,326.33624,10.389564
2018-08-04 17:00:00,11.08,5.3647876,-8.225792,326.88797,9.820621
2018-08-04 18:00:00,11.18,4.772309,-8.05699,329.36093,9.364295
2018-08-04 19:00:00,11.25,4.7684193,-8.13,329.60748,9.425218
2018-08-04 20:00:00,11.2,4.710163,-7.915325,329.24445,9.210755
2018-08-04 21:00:00,11.25,4.4039154,-7.9439216,330.9971,9.082971
2018-08-04 22:00:00,11.13,4.259495,-7.1315885,329.15134,8.306796
2018-08-04 23:00:00,11.25,3.9960485,-6.2117953,327.24683,7.3861227
2018-08-05 00:00:00,11.18,3.5120306,-5.893999,329.21075,6.861019
2018-08-05 01:00:00,11.2,3.0002089,-4.592695,326.84515,5.4858093
2018-08-05 02:00:00,11.08,4.311393,-3.5086246,309.1388,5.5586467
2018-08-05 03:00:00,10.59,5.192837,-3.230277,301.88428,6.1155744
2018-08-05 04:00:00,10.12,5.5816383,-3.4460883,301.69104,6.559742
2018-08-05 05:00:00,10.27,5.597419,-4.797707,310.60083,7.372184
2018-08-05 06:00:00,9.51,5.230124,-5.402461,315.9286,7.51936
2018-08-05 07:00:00,9.85,4.234683,-5.0654163,320.1044,6.602347
2018-08-05 08:00:00,10.64,5.900125,-5.2644176,311.7411,7.907311
2018-08-05 09:00:00,10.57,5.0500336,-4.7182016,313.05438,6.9111695
2018-08-05 10:00:00,10.34,2.8927672,-5.7927046,333.46332,6.4748383
2018-08-05 11:00:00,9.85,3.1244495,-5.60903,330.8805,6.420545
2018-08-05 12:00:00,9.8,3.2319477,-5.7799373,330.78754,6.6221724
2018-08-05 13:00:00,9.93,3.6564322,-6.5334125,330.7664,7.486987
2018-08-05 14:00:00,10.37,2.40882,-6.677506,340.16376,7.098697
2018-08-05 15:00:00,10.66,2.388716,-6.7512755,340.51535,7.161402
2018-08-05 16:00:00,11.03,2.5711434,-6.817507,339.3366,7.286232
2018-08-05 17:00:00,11.1,2.3597748,-6.670375,340.51776,7.0754814
2018-08-05 18:00:00,11.22,2.2814848,-6.5581927,340.81808,6.943707
2018-08-05 19:00:00,11.66,2.1158488,-6.2908163,341.4102,6.637107
2018-08-05 20:00:00,10.76,2.0662725,-6.1547966,341.4422,6.49238
2018-08-05 21:00:00,9.21,2.0155401,-6.315304,342.29944,6.6291375
2018-08-05 22:00:00,9.58,2.019994,-6.0288954,341.47647,6.3582983
2018-08-05 23:00:00,9.41,1.7457826,-5.664767,342.8716,5.9276757
2018-08-06 00:00:00,9.39,1.6375208,-5.4513316,343.2803,5.691967
2018-08-06 01:00:00,8.67,1.0583837,-4.97828,347.99762,5.089543
2018-08-06 02:00:00,8.27,0.97978616,-4.095493,346.54572,4.211062
2018-08-06 03:00:00,8.09,1.1376164,-4.204169,344.8588,4.3553653
2018-08-06 04:00:00,8.02,0.78802013,-3.154594,345.9745,3.2515285
2018-08-06 05:00:00,7.97,0.23278546,-2.0287945,353.45447,2.042106
2018-08-06 06:00:00,7.84,-1.1459409,-0.96007127,50.043667,1.494964
2018-08-06 07:00:00,7.97,-1.0897646,-0.81074345,53.352154,1.3582679
2018-08-06 08:00:00,7.92,-0.28792122,-1.1898872,13.6026,1.2242264
2018-08-06 09:00:00,7.92,0.42041576,-0.034785762,274.72995,0.4218524
2018-08-06 10:00:00,8.09,-0.4056757,-0.065841556,80.78123,0.41098404
2018-08-06 11:00:00,7.49,0.18692744,-0.9752866,349.15002,0.99303865
2018-08-06 12:00:00,7.44,2.242019,-0.98709285,293.76245,2.4496942
2018-08-06 13:00:00,7.59,1.5328538,-0.10725188,274.00238,1.5366014
2018-08-06 14:00:00,8.24,0.14266278,0.82123226,189.85495,0.8335317
2018-08-06 15:00:00,8.62,1.2860675,0.18144155,261.96957,1.2988036
2018-08-06 16:00:00,8.54,1.5645704,4.8978558,197.71555,5.14168
2018-08-06 17:00:00,8.54,1.1035191,4.3409777,194.26303,4.479045
2018-08-06 18:00:00,8.42,2.0092328,2.514254,218.62965,3.2184608
2018-08-06 19:00:00,8.47,3.2632403,5.7288322,209.66658,6.593046
2018-08-06 20:00:00,8.89,3.3029284,4.0026283,219.5291,5.189448
2018-08-06 21:00:00,8.44,3.6266928,2.643177,233.91498,4.4876814
2018-08-06 22:00:00,8.47,3.9089308,2.7531393,234.8422,4.7811627
2018-08-06 23:00:00,7.54,4.6619964,3.4745765,233.30292,5.8143697
2018-08-07 00:00:00,7.12,4.8794184,4.363845,228.19255,6.546134
2018-08-07 01:00:00,7.12,3.3916335,4.5677505,216.59453,5.689246
2018-08-07 02:00:00,6.43,2.4412696,4.0455914,211.10843,4.725104
2018-08-07 03:00:00,6.91,3.463498,3.6278539,223.6723,5.01569
2018-08-07 04:00:00,7.9,2.0545006,2.7794,216.47139,3.456304
2018-08-07 05:00:00,8.59,0.7323196,0.7217351,225.41707,1.0281992
2018-08-07 06:00:00,8.69,0.606509,-1.3769331,336.22754,1.5045922
2018-08-07 07:00:00,7.64,1.4517732,-2.1913888,326.47592,2.6286557
2018-08-07 08:00:00,5.54,2.4254184,-2.205213,312.2774,3.2780511
